NUMBER OF ITEMS,LENGHT,WIDTH,HEIGHT,WEIGHT,VOLUME,STACKABLE,UNLOADING ORDER,PRIORITY,TAXABILITY,LOADED,LOADING RULES,COUNTRY RULES,CUSTOMER-PARTNER RULES,SENDER RULES,CONSIGNEE RULES,TRAFFIC LINE,GOODS,YEAR,BRANCH,SHIPMENT,KIND OF PACKAGE,SENDER,CONSIGNEE,ZIP,NATION,TRAFFIC LINE,TRUCK YEAR,TRUCK BRANCH,TRUCK NUMBER,KIND OF TRUCK
1,80,160,60,116.92,0.768,1,1,1,300,1, , , , , ,F22,Merce varia,2019,1,204472,PAL,MAGLIFICIO RIPA S.P.A.,MC COMPANY,98000,FR,F22,2019,1,38945,AUTOTRENO
1,110,140,80,350,1.232,1,1,9,400,1, , , , , ,F22,Merce varia,2019,1,205189,PAL,CALDIC ITALIA,CERESINE,13368,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,80,63,0.768,1,1,1,300,1, , , , , ,F22,Merce varia,2019,1,205193,PAL,FIASCONARO S.R.L.,DOLCE & GABBANA,98000,FR,F22,2019,1,38945,AUTOTRENO
1,80,120,180,750,1.728,1,1,1,800,1, , , , , ,F22,Merce varia,2019,1,205194,PAL,EKALAB S.r.l,JB CONSEIL C/O VIAPOST INDUSTRIES ,13880,FR,F22,2019,1,38945,AUTOTRENO
1,80,120,65,41,0.624,1,1,1,200,1, , , , , ,F22,Merce varia,2019,1,205216,PAL,FIASCONARO S.R.L.,DOLCE & GABBANA FRANCE SARL,6300,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,60,26,0.576,1,1,1,200,1, , , , , ,F22,Merce varia,2019,1,205219,PAL,FIASCONARO S.R.L.,DOLCE & GABBANA FRANCE SARL,83990,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,190,577,1.824,1,1,1,1700,1, , , , , ,F22,Merce varia,2019,1,205220,PAL,FIASCONARO S.R.L.,M. HOBEIKA ELIE ,13200,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,175,577,1.68,1,1,1,1700,1, , , , , ,F22,Merce varia,2019,1,205220,PAL,FIASCONARO S.R.L.,M. HOBEIKA ELIE ,13200,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,220,577,2.112,1,1,1,1700,1, , , , , ,F22,Merce varia,2019,1,205220,PAL,FIASCONARO S.R.L.,M. HOBEIKA ELIE ,13200,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,210,216,2.016,1,1,1,800,1, , , , , ,F22,Merce varia,2019,1,205224,PAL,FIASCONARO S.R.L.,ITALIA MARKET,84000,FR,F22,2019,1,38945,AUTOTRENO
1,120,80,60,216,0.576,1,1,1,800,1, , , , , ,F22,Merce varia,2019,1,205224,PAL,FIASCONARO S.R.L.,ITALIA MARKET,84000,FR,F22,2019,1,38945,AUTOTRENO
1,80,80,80,90,0.512,1,1,1,200,1, , , , , ,F22,Merce varia,2019,1,205249,COL,TRIMAR ,2 IMAHL SARL,6670,FR,F22,2019,1,38945,AUTOTRENO
2,200,120,160,4780,3.84,1,1,1,8100,1, , , , , ,F22,Merce varia,2019,1,205300,PAL,BARBIFLEX SNC,FILPACK SUD,13127,FR,F22,2019,1,38945,AUTOTRENO
1,110,120,160,4780,2.112,1,1,1,8100,1, , , , , ,F22,Merce varia,2019,1,205300,PAL,BARBIFLEX SNC,FILPACK SUD,13127,FR,F22,2019,1,38945,AUTOTRENO
5,100,120,110,4780,1.32,1,1,1,8100,1, , , , , ,F22,Merce varia,2019,1,205300,PAL,BARBIFLEX SNC,FILPACK SUD,13127,FR,F22,2019,1,38945,AUTOTRENO
4,200,120,110,4780,2.64,1,1,1,8100,1, , , , , ,F22,Merce varia,2019,1,205300,PAL,BARBIFLEX SNC,FILPACK SUD,13127,FR,F22,2019,1,38945,AUTOTRENO
4,120,80,190,917.1,1.824,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205408,PAL,BTICINO S P A,LEGRAND ENERGIES SOLUTIONS,83520,FR,F22,2019,1,38945,AUTOTRENO
1,122,90,120,917.1,1.3176,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205408,PAL,BTICINO S P A,LEGRAND ENERGIES SOLUTIONS,83520,FR,F22,2019,1,38945,AUTOTRENO
1,122,82,65,917.1,0.65026,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205408,PAL,BTICINO S P A,LEGRAND ENERGIES SOLUTIONS,83520,FR,F22,2019,1,38945,AUTOTRENO
3,28,40,27,36,0.03024,1,1,9,100,1, , , , , ,F22,LIMITED QUANTITY,2019,1,205487,CAR,LANTANIA SRL,MARBRERIE ANGELI,83310,FR,F22,2019,1,38945,AUTOTRENO
1,80,50,50,2716,0.2,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,240,52,160,2716,1.9968,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,218,103,72,2716,1.616688,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,203,40,32,2716,0.25984,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,83,12,87,2716,0.086652,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,98,12,35,2716,0.04116,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,60,40,45,2716,0.108,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,40,40,30,2716,0.048,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,60,40,45,2716,0.108,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,4,4,30,2716,0.00048,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,500,50,50,2716,1.25,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,40,30,24,2716,0.0288,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,45,68,50,2716,0.153,1,1,9,2800,1, , , , , ,F22,Merce varia,2019,1,205922,COL,BERTINI TRASPORTI,DMG,6514,FR,F22,2019,1,38945,AUTOTRENO
1,160,21,21,22.25,0.07056,1,1,9,100,1, , , , , ,F22,TESSUTI,2019,1,206191,COL,EUROJERSEY SPA,INDIES PRODUCTION,13120,FR,F22,2019,1,38945,AUTOTRENO
2,300,20,20,739.2,0.12,1,1,1,800,1, , , , , ,F22,Merce varia,2019,2,2044159,FAS,PETTITI GIUSEPPE SPA,VULCAIN,6130,FR,F22,2019,1,38945,AUTOTRENO
1,80,80,50,117,0.32,1,1,9,200,1, , , , , ,F22,Merce varia,2019,3,3040420,COL,GALVANINS SRL,PG PLASTIC,98000,FR,F22,2019,1,38945,AUTOTRENO
2,400,80,100,2311,3.2,1,1,1,2700,1, , , , , ,F22,RACCORDI ACCIAIO INOX,2019,3,3040759,COL,FIV SRL,AREDIS ROBINETTERIE,13015,FR,F22,2019,1,38945,AUTOTRENO
2,120,80,130,2311,1.248,1,1,1,2700,1, , , , , ,F22,RACCORDI ACCIAIO INOX,2019,3,3040759,COL,FIV SRL,AREDIS ROBINETTERIE,13015,FR,F22,2019,1,38945,AUTOTRENO
1,80,80,100,203,0.64,1,1,1,300,1, , , , , ,F22,Merce varia,2019,3,3040762,COL,FIV SRL,PARC,13400,FR,F22,2019,1,38945,AUTOTRENO
2,400,15,15,203,0.09,1,1,1,300,1, , , , , ,F22,Merce varia,2019,3,3040762,COL,FIV SRL,PARC,13400,FR,F22,2019,1,38945,AUTOTRENO
