NUMBER OF ITEMS,LENGHT,WIDTH,HEIGHT,WEIGHT,VOLUME,STACKABLE,UNLOADING ORDER,PRIORITY,TAXABILITY,LOADED,LOADING RULES,COUNTRY RULES,CUSTOMER-PARTNER RULES,SENDER RULES,CONSIGNEE RULES,TRAFFIC LINE,GOODS,YEAR,BRANCH,SHIPMENT,KIND OF PACKAGE,SENDER,CONSIGNEE,ZIP,NATION,TRAFFIC LINE,TRUCK YEAR,TRUCK BRANCH,TRUCK NUMBER,KIND OF TRUCK
1,37,37,37,18,0.050653,1,1,1,100,1, , , , , ,E23,Merce varia,2019,01,203285,COL,IMATEG S.R.L.,HUAYI COMPRESSOR  XX,08192,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,135,65,1.296,1,2,2,400,1, , , , , ,E23,Merce varia,2019,01,204198,PAL,NUOVA APTACA,MACRISIL ,08040,ES,E23,2019,01,38937,AUTOTRENO
1,40,40,133,1089,0.2128,1,2,9,1100,1, , , , , ,E23,Merce varia,2019,01,204204,COL,LAMICOLOR S.P.A.,GRUPO DRA SCP,08038,ES,E23,2019,01,38937,AUTOTRENO
2,50,40,40,1089,0.08,1,2,9,1100,1, , , , , ,E23,Merce varia,2019,01,204204,COL,LAMICOLOR S.P.A.,GRUPO DRA SCP,08038,ES,E23,2019,01,38937,AUTOTRENO
2,310,135,15,1089,0.62775,1,2,9,1100,1, , , , , ,E23,Merce varia,2019,01,204204,PAL,LAMICOLOR S.P.A.,GRUPO DRA SCP,08038,ES,E23,2019,01,38937,AUTOTRENO
1,310,135,18,1089,0.7533,1,2,9,1100,1, , , , , ,E23,Merce varia,2019,01,204204,PAL,LAMICOLOR S.P.A.,GRUPO DRA SCP,08038,ES,E23,2019,01,38937,AUTOTRENO
1,310,135,17,1089,0.71145,1,2,9,1100,1, , , , , ,E23,Merce varia,2019,01,204204,PAL,LAMICOLOR S.P.A.,GRUPO DRA SCP,08038,ES,E23,2019,01,38937,AUTOTRENO
1,60,40,70,115,0.168,1,2,1,200,1, , , , , ,E23,Merce varia,2019,01,204252,COL,LINEA 3 C SRL,GENERAL DE REFRIGERACION Y COMPONEN,08740,ES,E23,2019,01,38937,AUTOTRENO
2,160,115,225,900,4.14,1,2,9,3000,1, , , , , ,E23,Merce varia,2019,01,204303,PAL,VIGNA GRAZIANO ,"COLELL, S.A",08635,ES,E23,2019,01,38937,AUTOTRENO
1,150,75,130,900,1.4625,1,2,9,3000,1, , , , , ,E23,Merce varia,2019,01,204303,PAL,VIGNA GRAZIANO ,"COLELL, S.A",08635,ES,E23,2019,01,38937,AUTOTRENO
